# Memristor Strukov (2008) — Simulación numérica
# Generado: 2026-05-18T21:20:17.519648
# scenario: fig2b_unity
time_s,voltage_V,current_A,current_mA,resistance_Ohm,state_variable_x,memristance_Ohm
2.260000e-02,7.094036e-02,4.925686e-06,4.925686e-03,14402.0583,0.100499,14402.0583
2.270000e-02,7.125372e-02,4.947468e-06,4.947468e-03,14401.9879,0.100504,14401.9879
2.280000e-02,7.156708e-02,4.969250e-06,4.969250e-03,14401.9173,0.100508,14401.9173
2.290000e-02,7.188043e-02,4.991032e-06,4.991032e-03,14401.8464,0.100513,14401.8464
2.300000e-02,7.219377e-02,5.012814e-06,5.012814e-03,14401.7751,0.100517,14401.7751
2.310000e-02,7.250711e-02,5.034595e-06,5.034595e-03,14401.7035,0.100522,14401.7035
2.320000e-02,7.282044e-02,5.056377e-06,5.056377e-03,14401.6317,0.100526,14401.6317
2.330000e-02,7.313376e-02,5.078158e-06,5.078158e-03,14401.5595,0.100531,14401.5595
2.340000e-02,7.344707e-02,5.099939e-06,5.099939e-03,14401.4870,0.100535,14401.4870
2.350000e-02,7.376038e-02,5.121720e-06,5.121720e-03,14401.4142,0.100540,14401.4142
2.360000e-02,7.407368e-02,5.143500e-06,5.143500e-03,14401.3411,0.100545,14401.3411
2.370000e-02,7.438697e-02,5.165281e-06,5.165281e-03,14401.2676,0.100549,14401.2676
2.380000e-02,7.470026e-02,5.187061e-06,5.187061e-03,14401.1939,0.100554,14401.1939
2.390000e-02,7.501354e-02,5.208841e-06,5.208841e-03,14401.1198,0.100559,14401.1198
2.400000e-02,7.532681e-02,5.230621e-06,5.230621e-03,14401.0455,0.100563,14401.0455
2.410000e-02,7.564007e-02,5.252401e-06,5.252401e-03,14400.9708,0.100568,14400.9708
2.420000e-02,7.595332e-02,5.274181e-06,5.274181e-03,14400.8958,0.100573,14400.8958
2.430000e-02,7.626657e-02,5.295960e-06,5.295960e-03,14400.8205,0.100577,14400.8205
2.440000e-02,7.657981e-02,5.317740e-06,5.317740e-03,14400.7449,0.100582,14400.7449
2.450000e-02,7.689305e-02,5.339519e-06,5.339519e-03,14400.6690,0.100587,14400.6690
2.460000e-02,7.720627e-02,5.361298e-06,5.361298e-03,14400.5928,0.100592,14400.5928
2.470000e-02,7.751949e-02,5.383076e-06,5.383076e-03,14400.5163,0.100596,14400.5163
2.480000e-02,7.783270e-02,5.404855e-06,5.404855e-03,14400.4394,0.100601,14400.4394
2.490000e-02,7.814590e-02,5.426633e-06,5.426633e-03,14400.3623,0.100606,14400.3623
2.500000e-02,7.845910e-02,5.448411e-06,5.448411e-03,14400.2848,0.100611,14400.2848
2.510000e-02,7.877228e-02,5.470189e-06,5.470189e-03,14400.2070,0.100616,14400.2070
2.520000e-02,7.908546e-02,5.491967e-06,5.491967e-03,14400.1289,0.100621,14400.1289
2.530000e-02,7.939863e-02,5.513745e-06,5.513745e-03,14400.0505,0.100626,14400.0505
2.540000e-02,7.971180e-02,5.535522e-06,5.535522e-03,14399.9718,0.100631,14399.9718
2.550000e-02,8.002495e-02,5.557299e-06,5.557299e-03,14399.8928,0.100636,14399.8928
