voltage_V,current_mA
0.368417,0.025975
0.368709,0.025996
0.369001,0.026017
0.369293,0.026039
0.369585,0.026060
0.369876,0.026081
0.370168,0.026102
0.370460,0.026124
0.370752,0.026145
0.371044,0.026166
0.371335,0.026188
0.371627,0.026209
0.371919,0.026230
0.372210,0.026251
0.372502,0.026273
0.372793,0.026294
0.373085,0.026315
0.373376,0.026337
0.373668,0.026358
0.373959,0.026379
0.374251,0.026400
0.374542,0.026422
0.374833,0.026443
0.375124,0.026464
0.375416,0.026485
0.375707,0.026507
0.375998,0.026528
0.376289,0.026549
0.376580,0.026571
0.376871,0.026592
0.377162,0.026613
0.377453,0.026634
0.377744,0.026656
0.378035,0.026677
0.378326,0.026698
0.378616,0.026719
0.378907,0.026741
0.379198,0.026762
0.379488,0.026783
0.379779,0.026804
0.380070,0.026826
0.380360,0.026847
0.380651,0.026868
0.380941,0.026889
0.381232,0.026911
0.381522,0.026932
0.381813,0.026953
0.382103,0.026974
0.382393,0.026996
0.382683,0.027017
0.382974,0.027038
0.383264,0.027059
0.383554,0.027081
0.383844,0.027102
0.384134,0.027123
0.384424,0.027144
0.384714,0.027166
0.385004,0.027187
0.385294,0.027208
0.385584,0.027229
0.385874,0.027251
0.386164,0.027272
0.386453,0.027293
0.386743,0.027314
0.387033,0.027336
0.387323,0.027357
0.387612,0.027378
0.387902,0.027399
0.388191,0.027421
0.388481,0.027442
0.388770,0.027463
0.389060,0.027484
0.389349,0.027506
0.389638,0.027527
0.389928,0.027548
0.390217,0.027569
0.390506,0.027590
0.390795,0.027612
0.391085,0.027633
0.391374,0.027654
0.391663,0.027675
0.391952,0.027697
0.392241,0.027718
0.392530,0.027739
0.392819,0.027760
0.393108,0.027781
0.393396,0.027803
0.393685,0.027824
0.393974,0.027845
0.394263,0.027866
0.394551,0.027888
0.394840,0.027909
0.395129,0.027930
0.395417,0.027951
0.395706,0.027972
0.395994,0.027994
0.396283,0.028015
0.396571,0.028036
0.396860,0.028057
0.397148,0.028078
0.397436,0.028100
0.397724,0.028121
0.398013,0.028142
0.398301,0.028163
0.398589,0.028184
0.398877,0.028206
0.399165,0.028227
0.399453,0.028248
0.399741,0.028269
0.400029,0.028290
0.400317,0.028312
0.400605,0.028333
0.400893,0.028354
0.401181,0.028375
0.401468,0.028396
0.401756,0.028418
0.402044,0.028439
0.402331,0.028460
0.402619,0.028481
0.402906,0.028502
0.403194,0.028524
0.403481,0.028545
0.403769,0.028566
0.404056,0.028587
0.404344,0.028608
0.404631,0.028630
0.404918,0.028651
0.405205,0.028672
0.405493,0.028693
0.405780,0.028714
0.406067,0.028735
0.406354,0.028757
0.406641,0.028778
0.406928,0.028799
