t_s,V_in_V,I_sim_A,x_sim,R_sim_ohm,G_sim_S,P_sim_W
0.402007,0.952986,8.138455e-05,0.269914,11708.37,8.540898e-05,7.755831e-05
0.404007,0.954871,8.172652e-05,0.271545,11682.43,8.559861e-05,7.803827e-05
0.406007,0.956718,8.206755e-05,0.273183,11656.39,8.578988e-05,7.851552e-05
0.408007,0.958528,8.240763e-05,0.274828,11630.23,8.598280e-05,7.899001e-05
0.410007,0.960300,8.274675e-05,0.276480,11603.97,8.617740e-05,7.946167e-05
0.412007,0.962034,8.308490e-05,0.278138,11577.60,8.637368e-05,7.993046e-05
0.414007,0.963729,8.342209e-05,0.279804,11551.12,8.657167e-05,8.039632e-05
0.416007,0.965387,8.375830e-05,0.281476,11524.54,8.677137e-05,8.085920e-05
0.418007,0.967007,8.409353e-05,0.283154,11497.85,8.697280e-05,8.131904e-05
0.420007,0.968589,8.442778e-05,0.284840,11471.05,8.717598e-05,8.177579e-05
0.422007,0.970132,8.476104e-05,0.286532,11444.15,8.738092e-05,8.222939e-05
0.424007,0.971637,8.509330e-05,0.288230,11417.14,8.758763e-05,8.267980e-05
0.426007,0.973104,8.542456e-05,0.289936,11390.02,8.779614e-05,8.312695e-05
0.428007,0.974532,8.575482e-05,0.291648,11362.80,8.800646e-05,8.357080e-05
0.430007,0.975922,8.608406e-05,0.293366,11335.48,8.821861e-05,8.401130e-05
0.432007,0.977273,8.641229e-05,0.295091,11308.05,8.843260e-05,8.444839e-05
0.434007,0.978586,8.673949e-05,0.296823,11280.51,8.864845e-05,8.488201e-05
0.436007,0.979860,8.706566e-05,0.298561,11252.88,8.886617e-05,8.531213e-05
0.438007,0.981095,8.739080e-05,0.300306,11225.13,8.908579e-05,8.573868e-05
0.440007,0.982292,8.771490e-05,0.302057,11197.29,8.930732e-05,8.616161e-05
0.442007,0.983449,8.803796e-05,0.303815,11169.34,8.953078e-05,8.658088e-05
0.444007,0.984568,8.835997e-05,0.305579,11141.29,8.975619e-05,8.699643e-05
0.446007,0.985649,8.868091e-05,0.307350,11113.14,8.998356e-05,8.740821e-05
0.448007,0.986690,8.900080e-05,0.309127,11084.89,9.021292e-05,8.781618e-05
0.450008,0.987692,8.931962e-05,0.310910,11056.53,9.044428e-05,8.822028e-05
0.452008,0.988655,8.963736e-05,0.312700,11028.07,9.067766e-05,8.862046e-05
0.454008,0.989580,8.995403e-05,0.314496,10999.52,9.091308e-05,8.901667e-05
0.456008,0.990465,9.026961e-05,0.316298,10970.86,9.115057e-05,8.940886e-05
0.458008,0.991311,9.058410e-05,0.318107,10942.10,9.139013e-05,8.979699e-05
0.460008,0.992118,9.089749e-05,0.319922,10913.24,9.163179e-05,9.018101e-05
0.462008,0.992885,9.120978e-05,0.321743,10884.29,9.187558e-05,9.056086e-05
0.464008,0.993614,9.152096e-05,0.323571,10855.23,9.212151e-05,9.093651e-05
0.466008,0.994303,9.183102e-05,0.325404,10826.07,9.236960e-05,9.130789e-05
0.468008,0.994953,9.213996e-05,0.327244,10796.82,9.261987e-05,9.167497e-05
0.470008,0.995564,9.244778e-05,0.329090,10767.47,9.287235e-05,9.203770e-05
0.472008,0.996136,9.275446e-05,0.330942,10738.02,9.312706e-05,9.239603e-05
0.474008,0.996668,9.306000e-05,0.332801,10708.47,9.338402e-05,9.274992e-05
0.476008,0.997161,9.336439e-05,0.334665,10678.83,9.364325e-05,9.309931e-05
0.478008,0.997614,9.366764e-05,0.336535,10649.09,9.390477e-05,9.344417e-05
0.480008,0.998028,9.396972e-05,0.338412,10619.25,9.416862e-05,9.378444e-05
0.482008,0.998403,9.427064e-05,0.340295,10589.32,9.443480e-05,9.412009e-05
0.484008,0.998738,9.457039e-05,0.342183,10559.29,9.470335e-05,9.445106e-05
0.486008,0.999034,9.486896e-05,0.344078,10529.17,9.497429e-05,9.477732e-05
0.488008,0.999290,9.516634e-05,0.345978,10498.95,9.524764e-05,9.509882e-05
0.490008,0.999507,9.546254e-05,0.347885,10468.63,9.552344e-05,9.541551e-05
0.492008,0.999685,9.575754e-05,0.349797,10438.23,9.580170e-05,9.572736e-05
0.494008,0.999823,9.605133e-05,0.351715,10407.73,9.608244e-05,9.603431e-05
0.496008,0.999921,9.634391e-05,0.353639,10377.14,9.636571e-05,9.633633e-05
0.498008,0.999980,9.663527e-05,0.355569,10346.45,9.665152e-05,9.663338e-05
0.500008,1.000000,9.692541e-05,0.357505,10315.67,9.693989e-05,9.692541e-05
0.502008,0.999980,9.721432e-05,0.359447,10284.80,9.723086e-05,9.721238e-05
0.504008,0.999921,9.750198e-05,0.361394,10253.84,9.752446e-05,9.749425e-05
0.506008,0.999822,9.778841e-05,0.363347,10222.78,9.782071e-05,9.777099e-05
0.508008,0.999684,9.807357e-05,0.365306,10191.64,9.811963e-05,9.804254e-05
0.510009,0.999506,9.835748e-05,0.367270,10160.41,9.842127e-05,9.830887e-05
0.512009,0.999288,9.864012e-05,0.369240,10129.08,9.872564e-05,9.856994e-05
0.514009,0.999032,9.892149e-05,0.371216,10097.67,9.903279e-05,9.882571e-05
0.516009,0.998736,9.920157e-05,0.373197,10066.16,9.934273e-05,9.907614e-05
0.518009,0.998400,9.948037e-05,0.375184,10034.57,9.965550e-05,9.932120e-05
0.520009,0.998025,9.975787e-05,0.377177,10002.89,9.997113e-05,9.956085e-05
0.522009,0.997611,1.000341e-04,0.379175,9971.12,1.002896e-04,9.979504e-05
0.524009,0.997157,1.003089e-04,0.381178,9939.26,1.006111e-04,1.000237e-04
0.526009,0.996664,1.005825e-04,0.383188,9907.32,1.009355e-04,1.002469e-04
0.528009,0.996131,1.008547e-04,0.385202,9875.29,1.012629e-04,1.004645e-04
0.530009,0.995559,1.011256e-04,0.387222,9843.17,1.015933e-04,1.006766e-04
0.532009,0.994948,1.013952e-04,0.389247,9810.97,1.019267e-04,1.008829e-04
0.534009,0.994298,1.016634e-04,0.391278,9778.68,1.022633e-04,1.010837e-04
0.536009,0.993608,1.019302e-04,0.393314,9746.31,1.026030e-04,1.012787e-04
0.538009,0.992879,1.021957e-04,0.395356,9713.85,1.029458e-04,1.014680e-04
0.540009,0.992111,1.024598e-04,0.397402,9681.31,1.032919e-04,1.016515e-04
0.542009,0.991304,1.027225e-04,0.399454,9648.68,1.036411e-04,1.018292e-04
0.544009,0.990458,1.029838e-04,0.401511,9615.97,1.039937e-04,1.020011e-04
0.546009,0.989572,1.032437e-04,0.403574,9583.18,1.043495e-04,1.021671e-04
0.548009,0.988647,1.035022e-04,0.405641,9550.30,1.047087e-04,1.023272e-04
0.550009,0.987684,1.037592e-04,0.407714,9517.35,1.050713e-04,1.024813e-04
0.552009,0.986681,1.040149e-04,0.409792,9484.31,1.054373e-04,1.026295e-04
0.554009,0.985640,1.042691e-04,0.411875,9451.19,1.058068e-04,1.027718e-04
0.556009,0.984559,1.045218e-04,0.413963,9417.99,1.061798e-04,1.029079e-04
0.558009,0.983440,1.047731e-04,0.416056,9384.71,1.065563e-04,1.030381e-04
0.560009,0.982282,1.050230e-04,0.418154,9351.35,1.069364e-04,1.031621e-04
0.562009,0.981085,1.052713e-04,0.420257,9317.91,1.073202e-04,1.032801e-04
0.564009,0.979849,1.055182e-04,0.422365,9284.39,1.077076e-04,1.033919e-04
0.566009,0.978575,1.057635e-04,0.424478,9250.80,1.080988e-04,1.034975e-04
0.568009,0.977262,1.060074e-04,0.426596,9217.12,1.084937e-04,1.035970e-04
0.570010,0.975910,1.062497e-04,0.428719,9183.37,1.088925e-04,1.036902e-04
0.572010,0.974520,1.064905e-04,0.430846,9149.55,1.092951e-04,1.037772e-04
0.574010,0.973092,1.067298e-04,0.432979,9115.64,1.097016e-04,1.038579e-04
0.576010,0.971625,1.069675e-04,0.435116,9081.66,1.101120e-04,1.039323e-04
0.578010,0.970119,1.072037e-04,0.437257,9047.61,1.105265e-04,1.040003e-04
0.580010,0.968576,1.074382e-04,0.439404,9013.48,1.109450e-04,1.040621e-04
0.582010,0.966994,1.076712e-04,0.441555,8979.27,1.113676e-04,1.041174e-04
0.584010,0.965374,1.079026e-04,0.443711,8944.99,1.117944e-04,1.041664e-04
0.586010,0.963715,1.081324e-04,0.445872,8910.64,1.122254e-04,1.042089e-04
0.588010,0.962019,1.083606e-04,0.448037,8876.22,1.126606e-04,1.042450e-04
0.590010,0.960285,1.085872e-04,0.450206,8841.72,1.131001e-04,1.042746e-04
0.592010,0.958513,1.088121e-04,0.452380,8807.15,1.135441e-04,1.042978e-04
0.594010,0.956703,1.090353e-04,0.454559,8772.51,1.139924e-04,1.043144e-04
0.596010,0.954855,1.092569e-04,0.456742,8737.80,1.144452e-04,1.043245e-04
0.598010,0.952970,1.094768e-04,0.458929,8703.02,1.149026e-04,1.043281e-04
0.600010,0.951047,1.096950e-04,0.461121,8668.17,1.153646e-04,1.043251e-04
0.602010,0.949086,1.099115e-04,0.463317,8633.25,1.158312e-04,1.043155e-04
0.604010,0.947088,1.101263e-04,0.465518,8598.27,1.163025e-04,1.042993e-04
0.606010,0.945053,1.103394e-04,0.467723,8563.21,1.167786e-04,1.042765e-04
0.608010,0.942980,1.105507e-04,0.469932,8528.09,1.172596e-04,1.042471e-04
0.610010,0.940870,1.107602e-04,0.472145,8492.90,1.177455e-04,1.042109e-04
0.612010,0.938723,1.109680e-04,0.474362,8457.64,1.182363e-04,1.041681e-04
0.614010,0.936539,1.111739e-04,0.476584,8422.32,1.187322e-04,1.041187e-04
