t_s,V_signal_V,I_out_A,x_state
0.013750,0.837339,1.100499e-06,0.241207
0.013800,0.840191,1.111085e-06,0.245920
0.013850,0.843041,1.121861e-06,0.250673
0.013900,0.845889,1.132831e-06,0.255467
0.013950,0.848735,1.144000e-06,0.260301
0.014000,0.851578,1.155374e-06,0.265174
0.014050,0.854420,1.166956e-06,0.270085
0.014100,0.857260,1.178752e-06,0.275034
0.014150,0.860097,1.190767e-06,0.280021
0.014200,0.862932,1.203007e-06,0.285044
0.014250,0.865765,1.215477e-06,0.290104
0.014300,0.868596,1.228184e-06,0.295200
0.014350,0.871425,1.241134e-06,0.300330
0.014400,0.874252,1.254332e-06,0.305496
0.014450,0.877076,1.267785e-06,0.310696
0.014500,0.879899,1.281501e-06,0.315929
0.014550,0.882719,1.295485e-06,0.321195
0.014600,0.885537,1.309746e-06,0.326494
0.014650,0.888353,1.324290e-06,0.331825
0.014700,0.891167,1.339126e-06,0.337188
0.014750,0.893978,1.354261e-06,0.342581
0.014800,0.896787,1.369705e-06,0.348005
0.014850,0.899594,1.385465e-06,0.353458
0.014900,0.902399,1.401551e-06,0.358941
0.014950,0.905202,1.417972e-06,0.364453
0.015000,0.908002,1.434737e-06,0.369993
0.015050,0.910800,1.451858e-06,0.375560
0.015100,0.913596,1.469345e-06,0.381155
0.015150,0.916390,1.487208e-06,0.386777
0.015200,0.919181,1.505459e-06,0.392425
0.015250,0.921970,1.524110e-06,0.398099
0.015300,0.924757,1.543173e-06,0.403798
0.015350,0.927541,1.562661e-06,0.409521
0.015400,0.930324,1.582588e-06,0.415269
0.015450,0.933104,1.602968e-06,0.421041
0.015500,0.935881,1.623814e-06,0.426835
0.015550,0.938656,1.645144e-06,0.432653
0.015600,0.941429,1.666972e-06,0.438493
0.015650,0.944200,1.689316e-06,0.444355
0.015700,0.946969,1.712192e-06,0.450238
0.015750,0.949735,1.735620e-06,0.456141
0.015800,0.952498,1.759617e-06,0.462066
0.015850,0.955260,1.784205e-06,0.468010
0.015900,0.958019,1.809404e-06,0.473974
0.015950,0.960775,1.835236e-06,0.479956
0.016000,0.963529,1.861725e-06,0.485958
0.016050,0.966281,1.888894e-06,0.491977
0.016100,0.969031,1.916769e-06,0.498014
0.016150,0.971778,1.945376e-06,0.504069
0.016200,0.974522,1.974744e-06,0.510140
0.016250,0.977265,2.004903e-06,0.516228
0.016300,0.980005,2.035883e-06,0.522331
0.016350,0.982742,2.067717e-06,0.528451
0.016400,0.985477,2.100439e-06,0.534585
0.016450,0.988210,2.134087e-06,0.540734
0.016500,0.990940,2.168699e-06,0.546897
0.016550,0.993668,2.204315e-06,0.553075
0.016600,0.996393,2.240978e-06,0.559266
0.016650,0.999116,2.278734e-06,0.565470
0.016700,1.001836,2.317631e-06,0.571687
0.016750,1.004554,2.357719e-06,0.577916
0.016800,1.007269,2.399055e-06,0.584157
